date,EWJ,FEZ,SPY
2003-01-02 16:00:00,0.0,0.0,0.0
2003-01-03 16:00:00,0.0028707944317550504,0.0023353379444836287,0.0
2003-01-06 16:00:00,0.037481409285335124,0.049931598103123837,0.04460709881888475
2003-01-07 16:00:00,0.07481607396094073,0.04952063145931924,0.045955711982763985
2003-01-08 16:00:00,0.07695688508962754,0.08927045227799715,0.054490148345140786
2003-01-09 16:00:00,0.08079675732999982,0.08966935254989503,0.06730349611472176
2003-01-10 16:00:00,0.08267644958577791,0.09058912075264114,0.06675276847461582
2003-01-13 16:00:00,0.08199597340839272,0.09365234427980124,0.06623258601178605
2003-01-14 16:00:00,0.08983918783745462,0.0935924145818177,0.06682079057627521
2003-01-15 16:00:00,0.09076337306202578,0.09446748948635546,0.07222360672854834
2003-01-16 16:00:00,0.0922137287827598,0.09549464326855239,0.0719143804919619
2003-01-17 16:00:00,0.09162983251876003,0.11202167115666654,0.0773286953776721
2003-01-21 16:00:00,0.091582310511157,0.1216819641666168,0.08332265575047199
2003-01-22 16:00:00,0.09154347861860208,0.12464364665148603,0.08567188171943123
2003-01-23 16:00:00,0.10446559848884515,0.12509483890908263,0.0881695008394118
2003-01-24 16:00:00,0.10732168725978482,0.13239904767855679,0.10736944563534925
2003-01-27 16:00:00,0.11361583104825299,0.14435927530011278,0.1107970354515691
2003-01-28 16:00:00,0.1132743062367621,0.14523086411575997,0.11293182045410542
2003-01-29 16:00:00,0.11605452509348901,0.15107769523412387,0.11308029933649476
2003-01-30 16:00:00,0.11813039055665966,0.1545428164027502,0.12135954549912936
2003-01-31 16:00:00,0.11731097155739116,0.16194561584065922,0.12291483959900801
2003-02-03 16:00:00,0.11879866831468082,0.16131566535402567,0.12232762881498226
2003-02-04 16:00:00,0.1179702406718331,0.16706697331033615,0.12420753138816823
2003-02-05 16:00:00,0.11733544888061204,0.16570062807397162,0.12376218081539186
2003-02-06 16:00:00,0.11729806281984434,0.16854304105998313,0.1232613558183609
2003-02-07 16:00:00,0.1172748297358625,0.17020181567269904,0.1240800406988706
2003-02-10 16:00:00,0.11665473686848546,0.16881013435712344,0.1240768553061784
2003-02-11 16:00:00,0.11584758788091379,0.16794149443691886,0.12431868897600495
2003-02-12 16:00:00,0.1155054969669939,0.17056837009811443,0.12564453917320617
2003-02-13 16:00:00,0.11591414020416754,0.1728818633664992,0.12464571484487925
2003-02-14 16:00:00,0.11676859336372065,0.1809461938657464,0.13123926849195153
2003-02-18 16:00:00,0.11810118410134303,0.18424732006939742,0.13630447472904397
2003-02-19 16:00:00,0.1212882611311549,0.18546337317955278,0.1359827736042876
2003-02-20 16:00:00,0.12028998686188314,0.18703795950927632,0.13635356733871018
2003-02-21 16:00:00,0.11933535984096016,0.1896923954683203,0.13856536031382796
2003-02-24 16:00:00,0.11867511932096675,0.19672680110335186,0.14333269046572542
2003-02-25 16:00:00,0.1189991509345654,0.19935080254755333,0.14313870206244675
2003-02-26 16:00:00,0.11933957937083449,0.20596943164269194,0.14455014291140167
2003-02-27 16:00:00,0.11928896269451929,0.2063588537254374,0.14534615671529413
2003-02-28 16:00:00,0.11922570938400451,0.20995867945005386,0.1445588696712005
2003-03-03 16:00:00,0.11884205507430702,0.20883359552185926,0.14432382341143865
2003-03-04 16:00:00,0.11878858321084595,0.20835822230253823,0.14605615095965277
2003-03-05 16:00:00,0.11784857198691592,0.206650875382232,0.14608408004022283
2003-03-06 16:00:00,0.11872044810531825,0.21308051771647185,0.14618454579251555
2003-03-07 16:00:00,0.12230024146092425,0.212107987228868,0.14591348344150748
2003-03-10 16:00:00,0.12966894914495042,0.22735954705613193,0.15382996030233304
2003-03-11 16:00:00,0.12996306989260117,0.22607595950014778,0.15350971497747798
2003-03-12 16:00:00,0.131343084759236,0.23801140253770597,0.1526146533486244
2003-03-13 16:00:00,0.13324923277987888,0.2651322471031824,0.16698769378632175
2003-03-14 16:00:00,0.13501908243358046,0.2639848980846848,0.1656388715948668
2003-03-17 16:00:00,0.13520778286844434,0.2850231405415868,0.17895457032186585
2003-03-18 16:00:00,0.13694640989374926,0.28290598190449523,0.17768161200107038
2003-03-19 16:00:00,0.13585536186194602,0.2809759293655411,0.177203250720522
2003-03-20 16:00:00,0.13908467516894918,0.27951757699847385,0.17577451459530305
2003-03-21 16:00:00,0.14281890480781637,0.29472952389373536,0.18016219880897175
2003-03-24 16:00:00,0.14245084745996506,0.320158532900451,0.19248039859600446
2003-03-25 16:00:00,0.14141017999253658,0.3235462671847335,0.19260352460410898
2003-03-26 16:00:00,0.1414295246278328,0.32090232590477846,0.19132881563002155
2003-03-27 16:00:00,0.14142766583899102,0.3194829441356022,0.18976838138232652
2003-03-28 16:00:00,0.1402636323335757,0.3169768336221433,0.18858237892611976
2003-03-31 16:00:00,0.15437694795748316,0.31900409756520265,0.19081011964156352
2003-04-01 16:00:00,0.15516154966695,0.3175610695050114,0.19102695826374338
2003-04-02 16:00:00,0.15640582172936843,0.3241159231134791,0.1972171732001871
2003-04-03 16:00:00,0.16179104375353345,0.3216461857280914,0.19594521968794873
2003-04-04 16:00:00,0.16058198758942127,0.32326777545567137,0.19441173350965604
2003-04-07 16:00:00,0.16121298738285764,0.3228849146806174,0.192820439073838
2003-04-08 16:00:00,0.16284263204335342,0.3202273804785802,0.19124465894816575
2003-04-09 16:00:00,0.16153279653911787,0.31759611060007725,0.1918499291450489
2003-04-10 16:00:00,0.16097146194043668,0.3153399544281825,0.19077111188534138
2003-04-11 16:00:00,0.16340079227285642,0.3128168080508116,0.1893128410706153
